gard id,unii id,disease - chemical,disease - gene - chemical,disease-phenotype-gene-chemical,disease-subclass-disease-gene-chemical,disease-variant-gene-chemical,disease-causing_gene-gene-chemical,disease-gene-gene-chemical
7887,GR120KRT6K,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
522,RBZ1571X5H,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
522,RBZ1571X5H,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6105,RBZ1571X5H,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
6105,RBZ1571X5H,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2327,8A1O1M485B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8598,8A1O1M485B,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
8598,8A1O1M485B,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2804,8A1O1M485B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6987,8A1O1M485B,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
7132,8A1O1M485B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7468,8A1O1M485B,FALSE,FALSE,failed,FALSE,FALSE,FALSE,FALSE
12959,59JV96YTXV,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10428,J7A92W69L7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6591,XB13HYU18U,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6104,N54AIC43PW,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6104,N54AIC43PW,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6104,N54AIC43PW,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3178,N54AIC43PW,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7108,N54AIC43PW,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5877,1X70OSD4VX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6104,1X70OSD4VX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6104,1X70OSD4VX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6104,1X70OSD4VX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6104,1X70OSD4VX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3178,1X70OSD4VX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2356,1X70OSD4VX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6969,1X70OSD4VX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13237,1X70OSD4VX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
