ORDR-Num,Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication *,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,Good,Rare Disease,GARD_ID,UNII,Gene,UniProt,Family,Name,DrugBank gene1,DrugBank gene2,DrugBank gene3,MOA Long,Targets (NPC),MOA
5724,vigabatrin,Sabril,6/12/00,Treatment of infantile spasms.,Designated/Approved,,For infantile spasms (IS) - 1 month to 2 years of age., 08/21/2009 , 08/21/2016 ,,H. Lundbeck A/S,Four Parkway North,,Deerfield,Illinois,60015,United States,135100,TRUE,West syndrome,7887,GR120KRT6K,ABAT,P80404,Enzyme,"4-aminobutyrate aminotransferase, mitochondrial",GABBR1,ABAT,,"Gamma-aminobutyric acid (GABA) is the major inhibitory transmitter throughout the central nervous system, and the potentiation of GABAergic neurotransmission is therefore a crucial mechanism through which antiepileptic agents may combat the pathologic excitatory neurotransmission seen in epilepsy.[A202064] Vigabatrin increases concentrations of GABA in the central nervous system by irreversibly inhibiting the enzymes responsible for its metabolism to succinic semialdehyde: gamma-aminobutyric acid transaminase (GABA-T).[L13616] ",SLC32A1|ABAT|GABBR1,GABA aminotransferase inhibitor|Inhibits GABA transaminase (GABA-T)
1903,Dasatinib,Sprycel,11/18/05,Treatment of Philadelphia-positive acute lymphoblastic leukemia,Designated/Approved,,Treatment of adults with Philadelphia chromosome-positive acute lymphoblastic leukemia with resistance or intolerance to prior therapy, 06/28/2006 , 06/28/2013 ,,Bristol-Myers Squibb Company,P. O Box 5326,Mailstop C 4065,Princeton,New Jersey,8542,United States,214605,TRUE,Acute lymphoblastic leukemia,522,RBZ1571X5H,ABL1,P00519,Kinase,Tyrosine-protein kinase ABL1,,,,"Dasatinib, at nanomolar concentrations, inhibits the following kinases: BCR-ABL, SRC family (SRC, LCK, YES, FYN), c-KIT, EPHA2, and PDGFR&beta;. Based on modeling studies, dasatinib is predicted to bind to multiple conformations of the ABL kinase. In vitro, dasatinib was active in leukemic cell lines representing variants of imatinib mesylate sensitive and resistant disease. Dasatinib inhibited the growth of chronic myeloid leukemia (CML) and acute lymphoblastic leukemia (ALL) cell lines overexpressing BCR-ABL. Under the conditions of the assays, dasatinib was able to overcome imatinib resistance resulting from BCR-ABL kinase domain mutations, activation of alternate signaling pathways involving the SRC family kinases (LYN, HCK), and multi-drug resistance gene overexpression. ",EPHA2|SRC|PDGFRA|PDGFRB|SRMS|DDR2|DDR1|STAT5B|HCK|FYN|FRK|FGR|ABL2|ABL1|YES1|BLK|BCR|BTK|LYN|LCK|KIT,Bcr-Abl kinase inhibitor%7Cephrin inhibitor%7CKIT inhibitor%7CPDGFR tyrosine kinase receptor inhibitor%7Csrc inhibitor%7Ctyrosine kinase inhibitor
1906,Dasatinib,Sprycel,11/18/05,Treatment of Philadelphia-positive acute lymphoblastic leukemia,Designated/Approved,,SPRYCEL (dasatinib) is indicated for the treatment of pediatric patients 1 year of age and older with newly diagnosed Ph+ ALL in combination with chemotherapy., 12/21/2018 , 12/21/2025 ,SPRYCEL (dasatinib) is indicated for the treatment of pediatric patients 1 year of age and older with newly diagnosed Ph+ ALL in combination with chemotherapy.,Bristol-Myers Squibb Company,P. O Box 5326,Mailstop C 4065,Princeton,New Jersey,8542,United States,214605,TRUE,Acute lymphoblastic leukemia,522,RBZ1571X5H,ABL1,P00519,Kinase,Tyrosine-protein kinase ABL1,,,,"Dasatinib, at nanomolar concentrations, inhibits the following kinases: BCR-ABL, SRC family (SRC, LCK, YES, FYN), c-KIT, EPHA2, and PDGFR&beta;. Based on modeling studies, dasatinib is predicted to bind to multiple conformations of the ABL kinase. In vitro, dasatinib was active in leukemic cell lines representing variants of imatinib mesylate sensitive and resistant disease. Dasatinib inhibited the growth of chronic myeloid leukemia (CML) and acute lymphoblastic leukemia (ALL) cell lines overexpressing BCR-ABL. Under the conditions of the assays, dasatinib was able to overcome imatinib resistance resulting from BCR-ABL kinase domain mutations, activation of alternate signaling pathways involving the SRC family kinases (LYN, HCK), and multi-drug resistance gene overexpression. ",EPHA2|SRC|PDGFRA|PDGFRB|SRMS|DDR2|DDR1|STAT5B|HCK|FYN|FRK|FGR|ABL2|ABL1|YES1|BLK|BCR|BTK|LYN|LCK|KIT,Bcr-Abl kinase inhibitor%7Cephrin inhibitor%7CKIT inhibitor%7CPDGFR tyrosine kinase receptor inhibitor%7Csrc inhibitor%7Ctyrosine kinase inhibitor
1904,dasatinib,Sprycel,11/28/05,Treatment of chronic myelogenous leukemia,Designated/Approved,,Treatment of adults with chronic myeloid leukemia with resistance or intolerance to prior therapy including imatinib, 06/28/2006 , 06/28/2013 ,,Bristol-Myers Squibb Company,"3401 Princeton Pike, B-3043C",,Lawrence Township,New Jersey,8648,United States,212405,TRUE,Chronic myeloid leukemia,6105,RBZ1571X5H,ABL1,P00519,Kinase,Tyrosine-protein kinase ABL1,,,,"Dasatinib, at nanomolar concentrations, inhibits the following kinases: BCR-ABL, SRC family (SRC, LCK, YES, FYN), c-KIT, EPHA2, and PDGFR&beta;. Based on modeling studies, dasatinib is predicted to bind to multiple conformations of the ABL kinase. In vitro, dasatinib was active in leukemic cell lines representing variants of imatinib mesylate sensitive and resistant disease. Dasatinib inhibited the growth of chronic myeloid leukemia (CML) and acute lymphoblastic leukemia (ALL) cell lines overexpressing BCR-ABL. Under the conditions of the assays, dasatinib was able to overcome imatinib resistance resulting from BCR-ABL kinase domain mutations, activation of alternate signaling pathways involving the SRC family kinases (LYN, HCK), and multi-drug resistance gene overexpression. ",EPHA2|SRC|PDGFRA|PDGFRB|SRMS|DDR2|DDR1|STAT5B|HCK|FYN|FRK|FGR|ABL2|ABL1|YES1|BLK|BCR|BTK|LYN|LCK|KIT,Bcr-Abl kinase inhibitor%7Cephrin inhibitor%7CKIT inhibitor%7CPDGFR tyrosine kinase receptor inhibitor%7Csrc inhibitor%7Ctyrosine kinase inhibitor
1907,dasatinib,Sprycel,11/28/05,Treatment of chronic myelogenous leukemia,Designated/Approved,,Treatment of pediatric patients with Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase, 11/09/2017 , 11/09/2024 ,Treatment of pediatric patients with Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase,Bristol-Myers Squibb Company,"3401 Princeton Pike, B-3043C",,Lawrence Township,New Jersey,8648,United States,212405,TRUE,Chronic myeloid leukemia,6105,RBZ1571X5H,ABL1,P00519,Kinase,Tyrosine-protein kinase ABL1,,,,"Dasatinib, at nanomolar concentrations, inhibits the following kinases: BCR-ABL, SRC family (SRC, LCK, YES, FYN), c-KIT, EPHA2, and PDGFR&beta;. Based on modeling studies, dasatinib is predicted to bind to multiple conformations of the ABL kinase. In vitro, dasatinib was active in leukemic cell lines representing variants of imatinib mesylate sensitive and resistant disease. Dasatinib inhibited the growth of chronic myeloid leukemia (CML) and acute lymphoblastic leukemia (ALL) cell lines overexpressing BCR-ABL. Under the conditions of the assays, dasatinib was able to overcome imatinib resistance resulting from BCR-ABL kinase domain mutations, activation of alternate signaling pathways involving the SRC family kinases (LYN, HCK), and multi-drug resistance gene overexpression. ",EPHA2|SRC|PDGFRA|PDGFRB|SRMS|DDR2|DDR1|STAT5B|HCK|FYN|FRK|FGR|ABL2|ABL1|YES1|BLK|BCR|BTK|LYN|LCK|KIT,Bcr-Abl kinase inhibitor%7Cephrin inhibitor%7CKIT inhibitor%7CPDGFR tyrosine kinase receptor inhibitor%7Csrc inhibitor%7Ctyrosine kinase inhibitor
2944,imatinib mesylate,Gleevec,12/19/05,Treatment of dermatofibrosarcoma protuberans,Designated/Approved,,"Treatment of adult patients with unresectable, recurrent and/or metastatic dermatofibrosarcoma protuberans (DFSP)", 10/19/2006 , 10/19/2013 ,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,7936,United States,208805,TRUE,Fibrosarcoma,2327,8A1O1M485B,ABL1,P00519,Kinase,Tyrosine-protein kinase ABL1,,,,"Imatinib mesylate is a protein-tyrosine kinase inhibitor that inhibits the Bcr-Abl tyrosine kinase, the constitutive abnormal tyrosine kinase created by the Philadelphia chromosome abnormality in chronic myeloid leukemia (CML). It inhibits proliferation and induces apoptosis in Bcr-Abl positive cell lines as well as fresh leukemic cells from Philadelphia chromosome positive chronic myeloid leukemia. Imatinib also inhibits the receptor tyrosine kinases for platelet derived growth factor (PDGF) and stem cell factor (SCF) - called c-kit. Imatinib was identified in the late 1990s by Dr Brian J. Druker. Its development is an excellent example of rational drug design. Soon after identification of the bcr-abl target, the search for an inhibitor began. Chemists used a high-throughput screen of chemical libraries to identify the molecule 2-phenylaminopyrimidine. This lead compound was then tested and modified by the introduction of methyl and benzamide groups to give it enhanced binding properties, resulting in imatinib.",DDR1|CSF1R|ABCG2|BCR|CYP2C8|CYP3A5|PDGFRA|PDGFRB|CYP2C19|RET|ABL1|NTRK1|KIT,Bcr-Abl kinase inhibitor%7CKIT inhibitor%7CPDGFR tyrosine kinase receptor inhibitor
2942,imatinib mesylate,Gleevec,11/1/01,Treatment of gastrointestinal stromal tumors,Designated/Approved,,Treatment of patients with Kit (CD117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumors (GIST), 02/01/2002 , 02/01/2009 ,,Novartis Pharmaceuticals Corp.,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,7936,United States,149201,TRUE,Gastrointestinal Stromal Tumors,8598,8A1O1M485B,ABL1,P00519,Kinase,Tyrosine-protein kinase ABL1,,,,"Imatinib mesylate is a protein-tyrosine kinase inhibitor that inhibits the Bcr-Abl tyrosine kinase, the constitutive abnormal tyrosine kinase created by the Philadelphia chromosome abnormality in chronic myeloid leukemia (CML). It inhibits proliferation and induces apoptosis in Bcr-Abl positive cell lines as well as fresh leukemic cells from Philadelphia chromosome positive chronic myeloid leukemia. Imatinib also inhibits the receptor tyrosine kinases for platelet derived growth factor (PDGF) and stem cell factor (SCF) - called c-kit. Imatinib was identified in the late 1990s by Dr Brian J. Druker. Its development is an excellent example of rational drug design. Soon after identification of the bcr-abl target, the search for an inhibitor began. Chemists used a high-throughput screen of chemical libraries to identify the molecule 2-phenylaminopyrimidine. This lead compound was then tested and modified by the introduction of methyl and benzamide groups to give it enhanced binding properties, resulting in imatinib.",DDR1|CSF1R|ABCG2|BCR|CYP2C8|CYP3A5|PDGFRA|PDGFRB|CYP2C19|RET|ABL1|NTRK1|KIT,Bcr-Abl kinase inhibitor%7CKIT inhibitor%7CPDGFR tyrosine kinase receptor inhibitor
2943,imatinib mesylate,Gleevec,11/1/01,Treatment of gastrointestinal stromal tumors,Designated/Approved,,Adjuvant treatment of adult patients following complete resection Kit (CD 117) positive gastrointestinal stromal tumors (GIST)., 12/19/2008 , 12/19/2015 ,,Novartis Pharmaceuticals Corp.,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,7936,United States,149201,TRUE,Gastrointestinal Stromal Tumors,8598,8A1O1M485B,ABL1,P00519,Kinase,Tyrosine-protein kinase ABL1,,,,"Imatinib mesylate is a protein-tyrosine kinase inhibitor that inhibits the Bcr-Abl tyrosine kinase, the constitutive abnormal tyrosine kinase created by the Philadelphia chromosome abnormality in chronic myeloid leukemia (CML). It inhibits proliferation and induces apoptosis in Bcr-Abl positive cell lines as well as fresh leukemic cells from Philadelphia chromosome positive chronic myeloid leukemia. Imatinib also inhibits the receptor tyrosine kinases for platelet derived growth factor (PDGF) and stem cell factor (SCF) - called c-kit. Imatinib was identified in the late 1990s by Dr Brian J. Druker. Its development is an excellent example of rational drug design. Soon after identification of the bcr-abl target, the search for an inhibitor began. Chemists used a high-throughput screen of chemical libraries to identify the molecule 2-phenylaminopyrimidine. This lead compound was then tested and modified by the introduction of methyl and benzamide groups to give it enhanced binding properties, resulting in imatinib.",DDR1|CSF1R|ABCG2|BCR|CYP2C8|CYP3A5|PDGFRA|PDGFRB|CYP2C19|RET|ABL1|NTRK1|KIT,Bcr-Abl kinase inhibitor%7CKIT inhibitor%7CPDGFR tyrosine kinase receptor inhibitor
2937,Imatinib mesylate,Gleevec,8/25/05,Treatment of idiopathic hypereosinophilic syndrome including acute and chronic eosinophilic leukemia,Designated/Approved,,Treatment of adult patients with hypereosinophic syndrome (HES) and/or chronic eosinophilic leukemia (CEL) who have the FIP1L1-PDGFR} fusion kinase (mutational analysis or FISH demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-PDGFR} fusion kinase negative or unknown, 10/19/2006 , 10/19/2013 ,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,7936,United States,209005,TRUE,Hypereosinophilic syndrome,2804,8A1O1M485B,ABL1,P00519,Kinase,Tyrosine-protein kinase ABL1,,,,"Imatinib mesylate is a protein-tyrosine kinase inhibitor that inhibits the Bcr-Abl tyrosine kinase, the constitutive abnormal tyrosine kinase created by the Philadelphia chromosome abnormality in chronic myeloid leukemia (CML). It inhibits proliferation and induces apoptosis in Bcr-Abl positive cell lines as well as fresh leukemic cells from Philadelphia chromosome positive chronic myeloid leukemia. Imatinib also inhibits the receptor tyrosine kinases for platelet derived growth factor (PDGF) and stem cell factor (SCF) - called c-kit. Imatinib was identified in the late 1990s by Dr Brian J. Druker. Its development is an excellent example of rational drug design. Soon after identification of the bcr-abl target, the search for an inhibitor began. Chemists used a high-throughput screen of chemical libraries to identify the molecule 2-phenylaminopyrimidine. This lead compound was then tested and modified by the introduction of methyl and benzamide groups to give it enhanced binding properties, resulting in imatinib.",DDR1|CSF1R|ABCG2|BCR|CYP2C8|CYP3A5|PDGFRA|PDGFRB|CYP2C19|RET|ABL1|NTRK1|KIT,Bcr-Abl kinase inhibitor%7CKIT inhibitor%7CPDGFR tyrosine kinase receptor inhibitor
2939,Imatinib mesylate,Gleevec,9/9/05,Treatment of systemic mastocytosis without the D816V c-kit mutation,Designated/Approved,,Treatment of adult patients with aggressive mastocytosis (ASM) without the D816V c-Kit mutation or with c-Kit mutational status unknown, 10/19/2006 , 10/19/2013 ,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,7936,United States,209205,TRUE,Mastocytosis,6987,8A1O1M485B,ABL1,P00519,Kinase,Tyrosine-protein kinase ABL1,,,,"Imatinib mesylate is a protein-tyrosine kinase inhibitor that inhibits the Bcr-Abl tyrosine kinase, the constitutive abnormal tyrosine kinase created by the Philadelphia chromosome abnormality in chronic myeloid leukemia (CML). It inhibits proliferation and induces apoptosis in Bcr-Abl positive cell lines as well as fresh leukemic cells from Philadelphia chromosome positive chronic myeloid leukemia. Imatinib also inhibits the receptor tyrosine kinases for platelet derived growth factor (PDGF) and stem cell factor (SCF) - called c-kit. Imatinib was identified in the late 1990s by Dr Brian J. Druker. Its development is an excellent example of rational drug design. Soon after identification of the bcr-abl target, the search for an inhibitor began. Chemists used a high-throughput screen of chemical libraries to identify the molecule 2-phenylaminopyrimidine. This lead compound was then tested and modified by the introduction of methyl and benzamide groups to give it enhanced binding properties, resulting in imatinib.",DDR1|CSF1R|ABCG2|BCR|CYP2C8|CYP3A5|PDGFRA|PDGFRB|CYP2C19|RET|ABL1|NTRK1|KIT,Bcr-Abl kinase inhibitor%7CKIT inhibitor%7CPDGFR tyrosine kinase receptor inhibitor
